Momentum,Epoch,Training MSE,VS Accuracy,VS MSE,Test Accuracy,Test MSE
0.7999999999999999,268,1.978248830364169E-5,0.8791946308724832,5.686003207275298E-4,0.8467741935483871,0.02347814776274713
0.8999999999999999,563,8.101307268055233E-7,0.8590604026845637,1.413329059695867E-9,0.8709677419354839,0.016649323621227886
0.8999999999999999,270,9.792155960288995E-6,0.8993288590604027,1.4808757625271225E-5,0.875,0.015625
0.8999999999999999,679,7.321035385612174E-6,0.8791946308724832,1.9132401209663194E-9,0.8790322580645161,0.014633194588969825
0.8999999999999999,199,6.053331179831916E-5,0.8791946308724832,1.0931500869275273E-6,0.8790322580645161,0.014633194588969825
0.8999999999999999,551,8.281218156989729E-7,0.8859060402684564,5.33993192897873E-6,0.8709677419354839,0.016649323621227886
0.8999999999999999,176,9.258996254791724E-5,0.8523489932885906,0.0015226953957786463,0.875,0.015625
0.8999999999999999,371,5.630015527133759E-6,0.87248322147651,2.456302789815995E-9,0.8669354838709677,0.017706165452653484
0.8999999999999999,207,5.367713814780136E-5,0.8523489932885906,8.035433045703317E-5,0.8669354838709677,0.017706165452653484
0.8999999999999999,652,3.6894830693422056E-7,0.8657718120805369,7.52219130600903E-6,0.8467741935483871,0.02347814776274713
0.8999999999999999,387,1.4086372233409447E-5,0.8859060402684564,1.4629198001398033E-6,0.8709677419354839,0.016649323621227886
0.9999999999999999,261,2.057712387364992E-5,0.9194630872483222,1.908390640858859E-8,0.8870967741935484,0.012747138397502604
0.9999999999999999,441,2.2813835088614738E-6,0.8590604026845637,0.0016163206969052426,0.8588709677419355,0.019917403746097812
0.9999999999999999,611,6.241804741081279E-7,0.9060402684563759,3.3653554480498417E-6,0.9153225806451613,0.007170265348595219
0.9999999999999999,911,1.6745891446929847E-7,0.8657718120805369,2.4495096297516096E-9,0.8870967741935484,0.012747138397502604
0.9999999999999999,281,1.052379208589769E-5,0.8657718120805369,1.86641055330945E-7,0.8629032258064516,0.018795525494276794
0.9999999999999999,268,3.2621416433880846E-5,0.8791946308724832,2.4091511183815787E-4,0.8951612903225806,0.010991155046826226
0.9999999999999999,114,2.2702850123615205E-4,0.8456375838926175,1.8835203275405517E-4,0.8548387096774194,0.02107180020811654
0.9999999999999999,191,5.482431020716513E-5,0.8791946308724832,4.431282886998534E-4,0.8588709677419355,0.019917403746097812
0.9999999999999999,233,3.8183017302313794E-5,0.87248322147651,3.584801936991355E-5,0.8870967741935484,0.012747138397502604
0.9999999999999999,259,3.427080568975616E-5,0.87248322147651,1.5338365453157279E-6,0.8588709677419355,0.019917403746097812
